question,deepeval_hallucination
Has the candidate worked on any developer productivity projects?,0.0
What is the scale of systems the candidate has worked with?,0.0
What certifications does the candidate have?,0.0
Does the candidate have an AWS certification?,0.6666666666666666
Does the candidate have a Kubernetes certification?,0.6666666666666666
When did the candidate get their Terraform certification?,0.6666666666666666
Does the candidate have any management certifications?,0.0
What is the candidate's blood type?,0.3333333333333333
Is this candidate overqualified for a junior DevOps role?,0.0
Would this candidate be a good fit for a remote DevOps role in Europe?,1.0
What unique combination of skills does this candidate offer?,0.0
Summarize why I should consider this candidate for a staff DevOps engineer position.,0.0
What was the candidate's capstone project about?,0.6666666666666666
Did the candidate receive any academic honors?,0.3333333333333333
Where has the candidate worked previously?,0.0
What was the candidate's first job?,0.3333333333333333
Describe the candidate's work at Wix.,0.0
Has the candidate held a leadership role?,0.6666666666666666
What industries has the candidate worked in?,0.6666666666666666
What is a key technical achievement the candidate accomplished?,0.0
Has the candidate had any teaching or mentoring experience?,0.0
What programming languages does the candidate know?,0.0
What are the candidate's primary technical frameworks and tools?,0.3333333333333333
What cloud platforms does the candidate have experience with?,0.0
What databases has the candidate worked with?,0.6666666666666666
Does the candidate have DevOps experience?,1.0
Does the candidate know Python?,0.3333333333333333
Does the candidate have experience with React?,0.0
Does the candidate have testing experience?,0.3333333333333333
What accessibility experience does the candidate have?,0.0
Does the candidate have design system experience?,0.0
Does the candidate have experience with build tools?,1.0
What backend and API skills does the candidate have?,0.0
What projects has the candidate worked on?,0.0
Tell me about the design system project.,0.0
What was the outcome of the collaborative editor project?,0.0
What technologies were used in the performance optimization project?,0.3333333333333333
What is the candidate's most significant project?,0.3333333333333333
Has the candidate contributed to open-source projects?,0.0
What systems has the candidate built?,0.0
Does the candidate have web performance experience?,0.0
Has the candidate worked on real-time applications?,0.0
What is the scale of systems the candidate has worked with?,0.3333333333333333
What certifications does the candidate have?,0.0
Does the candidate have a Google Cloud certification?,0.3333333333333333
Does the candidate have an accessibility certification?,0.6666666666666666
When did the candidate get their Meta certification?,0.3333333333333333
Does the candidate have any management certifications?,1.0
Is this candidate overqualified for a junior frontend role?,1.0
Compare the candidate's academic and professional experience.,0.0
What unique combination of skills does this candidate offer?,0.0
Summarize why I should consider this candidate for a senior frontend engineer position.,0.0
When did the candidate graduate?,0.6666666666666666
What was the candidate's capstone project about?,0.3333333333333333
Was the candidate on the Dean's List?,0.6666666666666666
Where has the candidate worked previously?,0.6666666666666666
What was the candidate's first job?,0.0
Describe the candidate's work at TechStart Solutions.,0.0
Has the candidate led a team?,0.0
What industries has the candidate worked in?,0.0
How did the candidate reduce model inference latency?,0.0
Has the candidate worked as a teaching assistant?,0.3333333333333333
What programming languages does the candidate know?,0.0
What ML and deep learning frameworks does the candidate use?,0.0
What cloud platforms does the candidate have experience with?,0.0
What databases has the candidate worked with?,0.0
Does the candidate have DevOps experience?,0.0
Does the candidate know Python?,0.6666666666666666
Does the candidate have experience with PyTorch?,0.0
Does the candidate have frontend development skills?,1.0
What NLP experience does the candidate have?,0.0
Does the candidate have computer vision experience?,0.0
Does the candidate have experience with Kubernetes?,0.0
What data engineering tools does the candidate know?,0.6666666666666666
What projects has the candidate worked on?,0.3333333333333333
Tell me about the recommendation engine project.,0.0
What was the outcome of the fraud detection project?,0.0
What technologies were used in the chatbot project?,0.3333333333333333
What is the candidate's most significant project?,0.0
Has the candidate contributed to open-source projects?,0.0
What ML models has the candidate built?,0.0
Does the candidate have real-time systems experience?,0.0
Has the candidate worked on any NLP projects?,0.0
What is the largest dataset the candidate has worked with?,0.0
What certifications does the candidate have?,0.0
Does the candidate have any AWS certifications?,0.6666666666666666
Does the candidate have a deep learning certification?,0.6666666666666666
When did the candidate get their AWS certification?,0.6666666666666666
Does the candidate have any project management certifications?,0.3333333333333333
Is this candidate overqualified for a junior data scientist role?,0.0
Would this candidate be a good fit for a remote ML role in Europe?,0.0
What unique combination of skills does this candidate offer?,0.0
Summarize why I should consider this candidate for a senior ML engineer position.,0.0
When did the candidate graduate?,0.6666666666666666
What was the candidate's MBA project about?,0.6666666666666666
Did the candidate receive any academic honors?,0.0
Describe the candidate's current job responsibilities.,0.0
Where has the candidate worked previously?,1.0
What was the candidate's first job?,0.6666666666666666
Describe the candidate's work at ironSource.,0.0
Has the candidate held a leadership role?,0.0
What industries has the candidate worked in?,0.0
What is a key technical achievement the candidate accomplished?,1.0
Has the candidate had any mentoring experience?,0.6666666666666666
What programming languages does the candidate know?,0.6666666666666666
What are the candidate's primary product tools?,0.6666666666666666
What cloud platforms does the candidate have experience with?,1.0
What data and analytics tools does the candidate use?,1.0
Does the candidate have technical knowledge?,0.0
Does the candidate know Python?,0.6666666666666666
Does the candidate have A/B testing experience?,0.0
Does the candidate have data analytics experience?,1.0
What product management methodologies does the candidate use?,0.6666666666666666
Does the candidate have user research experience?,1.0
Does the candidate have experience with ML products?,0.0
What visualization and reporting tools does the candidate know?,0.3333333333333333
What projects has the candidate worked on?,0.0
Tell me about the ad mediation project.,0.0
What was the outcome of the analytics dashboard project?,0.0
What technologies were used in the LTV modeling project?,0.3333333333333333
What is the candidate's most significant project?,0.3333333333333333
Has the candidate contributed to open-source projects?,0.6666666666666666
What products has the candidate built or launched?,0.0
Does the candidate have monetization experience?,0.0
Has the candidate worked on developer-facing products?,0.0
What is the scale of products the candidate has managed?,0.6666666666666666
What certifications does the candidate have?,0.0
Does the candidate have a product management certification?,0.6666666666666666
Does the candidate have a data analytics certification?,0.6666666666666666
When did the candidate get their Scrum certification?,1.0
Does the candidate have any management or methodology certifications?,0.3333333333333333
What is the candidate's blood type?,1.0
Is this candidate overqualified for a junior product manager role?,1.0
Would this candidate be a good fit for a remote product role in Europe?,1.0
What unique combination of skills does this candidate offer?,0.0
Summarize why I should consider this candidate for a director of product position.,0.0
What was the candidate's thesis about?,0.0
Did the candidate receive any academic honors?,0.0
Where has the candidate worked previously?,0.3333333333333333
What was the candidate's first job?,0.0
Describe the candidate's work at Amdocs.,0.0
Has the candidate held a leadership role?,0.0
What industries has the candidate worked in?,0.0
What is a key technical achievement the candidate accomplished?,0.0
Has the candidate had any teaching experience?,0.0
What programming languages does the candidate know?,0.6666666666666666
What are the candidate's primary technical frameworks and tools?,0.6666666666666666
What cloud platforms does the candidate have experience with?,0.0
What databases has the candidate worked with?,0.0
Does the candidate have DevOps or infrastructure experience?,1.0
Does the candidate know Python?,0.3333333333333333
Does the candidate have experience with Kafka?,0.0
Does the candidate have distributed systems experience?,0.0
What architecture patterns does the candidate know?,0.0
Does the candidate have observability experience?,0.3333333333333333
Does the candidate have experience with Kubernetes?,0.0
What streaming and data processing tools does the candidate know?,0.0
What projects has the candidate worked on?,0.3333333333333333
Tell me about the event enrichment pipeline.,0.0
What was the outcome of the multi-region architecture project?,0.0
What technologies were used in the microservices migration?,0.0
What is the candidate's most significant project?,0.0
Has the candidate contributed to open-source projects?,0.0
What systems has the candidate built?,0.0
Does the candidate have high-availability experience?,0.0
Has the candidate worked on migration projects?,0.6666666666666666
What is the scale of systems the candidate has worked with?,0.0
What certifications does the candidate have?,0.6666666666666666
Does the candidate have an AWS certification?,0.6666666666666666
Does the candidate have a Kafka certification?,1.0
When did the candidate get their Java certification?,0.6666666666666666
Does the candidate have any management certifications?,0.0
What is the candidate's religion?,0.0
Is this candidate overqualified for a junior backend role?,0.0
What unique combination of skills does this candidate offer?,0.0
Summarize why I should consider this candidate for a principal engineer position.,0.0
